year,month,spec,la2,lo2,pods
2001,6,mn,66.861,-20.612,1
2001,6,mn,66.863,-20.591,1
2001,7,mn,65.159,-11.481,1
2001,7,mn,65.332,-12.462,2
2001,7,mn,65.334,-12.473,2
2001,7,mn,65.345,-12.49,2
2001,7,mn,65.367,-12.527,1
2001,7,mn,65.366,-12.533,1
2001,7,mn,65.366,-12.533,1
2001,7,mn,65.361,-12.551,1
2001,7,mn,65.361,-12.552,1
2001,7,mn,65.359,-12.557,1
2001,7,mn,65.358,-12.573,1
2001,7,mn,65.358,-12.586,1
2001,7,mn,65.358,-12.586,1
2001,7,mn,65.359,-12.61,1
2001,7,mn,65.36,-12.618,1
2001,7,mn,65.366,-12.659,1
2001,7,mn,65.377,-12.72,2
2001,7,mn,65.424,-12.986,1
2001,7,mn,65.434,-13.041,1
2001,7,mn,65.434,-13.041,1
2001,7,mn,65.717,-13.348,1
2001,7,mn,65.737,-13.368,1
2001,7,mn,65.737,-13.368,1
2001,7,mn,65.77,-13.4,2
2001,7,mn,65.812,-13.389,1
2001,7,mn,65.814,-13.388,1
2001,7,mn,65.817,-13.387,1
2001,7,mn,65.822,-13.379,1
2001,7,mn,65.832,-13.397,1
2001,7,mn,65.839,-13.416,1
2001,7,mn,65.84,-13.417,2
2001,7,mn,65.854,-13.454,1
2001,7,mn,65.858,-13.462,3
2001,7,mn,65.866,-13.485,1
2001,7,mn,65.868,-13.49,1
2001,7,mn,65.868,-13.49,1
2001,7,mn,65.872,-13.497,1
2001,7,mn,65.872,-13.497,1
2001,7,mn,65.888,-13.516,1
2001,7,mn,65.895,-13.523,2
2001,7,mn,65.9,-13.528,1
2001,7,mn,65.909,-13.536,1
2001,7,mn,65.915,-13.542,1
2001,7,mn,65.917,-13.544,1
2001,7,mn,65.93,-13.557,1
2001,7,mn,65.953,-13.579,1
2001,7,mn,65.959,-13.584,3
2001,7,mn,65.959,-13.584,5
2001,7,mn,65.961,-13.586,1
2001,7,mn,65.972,-13.597,1
2001,7,mn,65.975,-13.6,1
2001,7,mn,65.978,-13.603,1
2001,7,mn,65.982,-13.607,4
2001,7,mn,65.986,-13.611,1
2001,7,mn,65.998,-13.622,1
2001,7,mn,66.009,-13.633,1
2001,7,mn,66.033,-13.644,1
2001,7,mn,66.038,-13.657,1
2001,7,mn,66.044,-13.667,2
2001,7,mn,66.049,-13.672,3
2001,7,mn,66.049,-13.672,1
2001,7,mn,66.049,-13.672,1
2001,7,mn,66.058,-13.683,1
2001,7,mn,66.06,-13.685,1
2001,7,mn,66.065,-13.689,1
2001,7,mn,66.067,-13.692,1
2001,7,mn,66.067,-13.692,1
2001,7,mn,66.069,-13.694,2
2001,7,mn,66.071,-13.696,1
2001,7,mn,66.072,-13.697,1
2001,7,mn,66.078,-13.703,4
2001,7,mn,66.078,-13.703,2
